Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Watoto Fund,3133980277.07,9527615.2,328.9365,328.9365,325.6471,2018-11-07
Watoto Fund,3141415187.4,9552137.74,328.8704,328.8704,325.5817,2018-11-06
Watoto Fund,3141415187.4,9552137.74,328.8704,328.8704,325.5817,2018-11-06
Watoto Fund,3136077698.06,9536307.07,328.8566,328.8566,325.5681,2018-11-05
Watoto Fund,3133850800.98,9535302.78,328.6577,328.6577,325.3711,2018-11-02
Watoto Fund,3131506098.46,9530101.39,328.5911,328.5911,325.3051,2018-11-01
Watoto Fund,3130227909.4,9528134.07,328.5248,328.5248,325.2395,2018-10-31
Watoto Fund,3143901298.84,9504919.84,330.7657,330.7657,327.458,2018-10-30
Watoto Fund,3142868828.64,9503700.61,330.6995,330.6995,327.3925,2018-10-29
Watoto Fund,3133882521.66,9482218.08,330.501,330.501,327.196,2018-10-26
Watoto Fund,3133690532.75,9483536.5,330.4348,330.4348,327.1305,2018-10-25
Watoto Fund,3131135590.86,9477700.17,330.3687,330.3687,327.065,2018-10-24
Watoto Fund,3130358473.96,9477246.03,330.3025,330.3025,326.9995,2018-10-23
Watoto Fund,3133117691.63,9487499.81,330.2365,330.2365,326.934,2018-10-22
Watoto Fund,3130731173.31,9485954.59,330.0386,330.0386,326.7382,2018-10-19
Watoto Fund,3130667672.34,9483903.79,330.1033,330.1033,326.8022,2018-10-18
Watoto Fund,3130841167.01,9483297.99,330.1427,330.1427,326.8412,2018-10-17
Watoto Fund,3129864600.56,9482229.6,330.0769,330.0769,326.7761,2018-10-16
Watoto Fund,3133418273.62,9499763.28,329.8417,329.8417,326.5433,2018-10-15
Watoto Fund,3261623546.74,9979704.24,326.8257,326.8257,323.5574,2018-10-12
Watoto Fund,3297075350.88,9977912.02,330.4374,330.4374,327.133,2018-10-11
Watoto Fund,3296351555.96,9977760.68,330.3699,330.3699,327.0662,2018-10-10
Watoto Fund,3297146459.53,9982212.28,330.3022,330.3022,326.9992,2018-10-09
Watoto Fund,3296135820.1,9981194.6,330.2346,330.2346,326.9323,2018-10-08
Watoto Fund,3296032462.38,9987017.87,330.0317,330.0317,326.7314,2018-10-05
Watoto Fund,3293933041.47,9982699.22,329.9642,329.9642,326.6645,2018-10-04
Watoto Fund,3291916584.22,9978632.2,329.8966,329.8966,326.5976,2018-10-03
Watoto Fund,3294223313.49,9987741.32,329.8267,329.8267,326.5284,2018-10-02
Watoto Fund,3292400766.73,9984259.58,329.7591,329.7591,326.4615,2018-10-01
Watoto Fund,3289910342.58,9982844.5,329.5564,329.5564,326.2608,2018-09-28
Watoto Fund,3289125475.18,9982510.65,329.4888,329.4888,326.1939,2018-09-27
Watoto Fund,3288143315.38,9981566.38,329.4216,329.4216,326.1274,2018-09-26
Watoto Fund,3287241935.14,9980868.05,329.3543,329.3543,326.0608,2018-09-25
Watoto Fund,3285299463.19,9976982.25,329.2879,329.2879,325.995,2018-09-24
Watoto Fund,3291077234.91,9971210.8,330.0579,330.0579,326.7574,2018-09-21
Watoto Fund,3292566770.9,9971007.89,330.214,330.214,326.9119,2018-09-20
Watoto Fund,3291876450.8,9970962.48,330.1463,330.1463,326.8448,2018-09-19
Watoto Fund,3291032851.88,9970508.04,330.0767,330.0767,326.776,2018-09-18
Watoto Fund,3283538659.89,9939350.97,330.3575,330.3575,327.0539,2018-09-17
Watoto Fund,3281516505.53,9939350.97,330.154,330.154,326.8525,2018-09-14
Watoto Fund,3284269432.42,9937384.23,330.4964,330.4964,327.1914,2018-09-13
Watoto Fund,3283513743.81,9937094.83,330.4299,330.4299,327.1257,2018-09-12
Watoto Fund,3281845658.77,9934057.19,330.3631,330.3631,327.0594,2018-09-11
Watoto Fund,3359558369.91,9972932.24,336.8677,336.8677,333.499,2018-09-10
Watoto Fund,3357119373.03,9971508.24,336.6712,336.6712,333.3045,2018-09-07
Watoto Fund,3355990518.79,9970097.17,336.6056,336.6056,333.2395,2018-09-06
Watoto Fund,3362606587.24,9969118.49,337.3023,337.3023,333.9293,2018-09-05
Watoto Fund,3361669297.91,9968331.04,337.2349,337.2349,333.8626,2018-09-04
Watoto Fund,3364949642.9,9979996.3,337.1694,337.1694,333.7977,2018-09-03
Watoto Fund,3350818510.1,9978819.69,335.7931,335.7931,332.4351,2018-08-31
Watoto Fund,3343576798.46,9959190.7,335.7278,335.7278,332.3705,2018-08-30
Watoto Fund,3342210034.59,9957060.44,335.6623,335.6623,332.3057,2018-08-29
Watoto Fund,3341188289.52,9955959.87,335.5968,335.5968,332.2408,2018-08-28
Watoto Fund,3339065322.39,9951487.24,335.5343,335.5343,332.179,2018-08-27
Watoto Fund,3337061871.29,9951487.24,335.333,335.333,331.9797,2018-08-24
Watoto Fund,3336204496.39,9950920.39,335.2659,335.2659,331.9133,2018-08-23
Watoto Fund,3332093591.52,9942636.96,335.1318,335.1318,331.7805,2018-08-21
Watoto Fund,3330788753.83,9940734.21,335.0647,335.0647,331.714,2018-08-20
Watoto Fund,3328726157.83,9940556.29,334.8632,334.8632,331.5145,2018-08-17
Watoto Fund,3352478533.02,9939488.76,337.2888,337.2888,333.9159,2018-08-16
Watoto Fund,3351812535.08,9939488.76,337.2218,337.2218,333.8496,2018-08-15
Watoto Fund,3350430491.53,9937365.06,337.1548,337.1548,333.7833,2018-08-14
Watoto Fund,3350467174.51,9939453.56,337.0877,337.0877,333.7168,2018-08-13
Watoto Fund,3347815145.9,9937520.82,336.8864,336.8864,333.5175,2018-08-10
