Date Valued,Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month
2017-06-06,Jikimu Fund,22766698324.65,183103975.87,124.3375,124.3375,121.8508,2017,6
2017-06-06,Jikimu Fund,22766698324.65,183103975.87,124.3375,124.3375,121.8508,2017,6
2017-06-06,Liquid Fund,12540933480.48,75652834.62,165.7695,165.7695,165.7695,2017,6
2017-06-06,Liquid Fund,12540933480.48,75652834.62,165.7695,165.7695,165.7695,2017,6
2017-06-05,Umoja Fund,198506854581.49,404323676.35,490.9603,490.9603,486.0507,2017,6
2017-06-05,Umoja Fund,198506854581.49,404323676.35,490.9603,490.9603,486.0507,2017,6
2017-06-05,Wekeza Maisha Fund,3734327593.2,11557976.29,323.0953,323.0953,316.6334,2017,6
2017-06-05,Wekeza Maisha Fund,3734327593.2,11557976.29,323.0953,323.0953,316.6334,2017,6
2017-06-05,Watoto Fund,3360227488.7,11719011.63,286.733,286.733,283.8657,2017,6
2017-06-05,Watoto Fund,3360227488.7,11719011.63,286.733,286.733,283.8657,2017,6
2017-06-05,Jikimu Fund,22754354672.93,183059626.66,124.3002,124.3002,121.8142,2017,6
2017-06-05,Jikimu Fund,22754354672.93,183059626.66,124.3002,124.3002,121.8142,2017,6
2017-06-05,Liquid Fund,12536178668.64,75652834.62,165.7067,165.7067,165.7067,2017,6
2017-06-05,Liquid Fund,12536178668.64,75652834.62,165.7067,165.7067,165.7067,2017,6
2017-06-02,Umoja Fund,198363695043.91,404310456.04,490.6222,490.6222,485.716,2017,6
2017-06-02,Umoja Fund,198363695043.91,404310456.04,490.6222,490.6222,485.716,2017,6
2017-06-02,Wekeza Maisha Fund,3728678323.76,11554520.86,322.703,322.703,316.2489,2017,6
2017-06-02,Wekeza Maisha Fund,3728678323.76,11554520.86,322.703,322.703,316.2489,2017,6
2017-06-02,Watoto Fund,3357690314.41,11717912.33,286.5434,286.5434,283.678,2017,6
2017-06-02,Watoto Fund,3357690314.41,11717912.33,286.5434,286.5434,283.678,2017,6
2017-06-02,Jikimu Fund,22730357628.25,183031443.61,124.1883,124.1883,121.7045,2017,6
2017-06-02,Jikimu Fund,22730357628.25,183031443.61,124.1883,124.1883,121.7045,2017,6
2017-06-02,Liquid Fund,12476751180.79,75379844.79,165.5184,165.5184,165.5184,2017,6
2017-06-02,Liquid Fund,12476751180.79,75379844.79,165.5184,165.5184,165.5184,2017,6
2017-06-01,Umoja Fund,198396400117.73,404470701.42,490.5087,490.5087,485.6036,2017,6
2017-06-01,Umoja Fund,198396400117.73,404470701.42,490.5087,490.5087,485.6036,2017,6
2017-06-01,Wekeza Maisha Fund,3726644963.03,11550837.43,322.6299,322.6299,316.1773,2017,6
2017-06-01,Wekeza Maisha Fund,3726644963.03,11550837.43,322.6299,322.6299,316.1773,2017,6
2017-06-01,Watoto Fund,3356124658.52,11715032.54,286.4802,286.4802,283.6154,2017,6
2017-06-01,Watoto Fund,3356124658.52,11715032.54,286.4802,286.4802,283.6154,2017,6
2017-06-01,Jikimu Fund,22792457220.18,183586700.72,124.1509,124.1509,121.6679,2017,6
2017-06-01,Jikimu Fund,22792457220.18,183586700.72,124.1509,124.1509,121.6679,2017,6
2017-06-01,Liquid Fund,12487505522.82,75473663.98,165.4551,165.4551,165.4551,2017,6
2017-06-01,Liquid Fund,12487505522.82,75473663.98,165.4551,165.4551,165.4551,2017,6
2017-05-31,Umoja Fund,198347148904.08,404462288.86,490.3971,490.3971,485.4932,2017,5
2017-05-31,Umoja Fund,198347148904.08,404462288.86,490.3971,490.3971,485.4932,2017,5
2017-05-31,Wekeza Maisha Fund,3746107643.19,11613796.35,322.5567,322.5567,316.1056,2017,5
2017-05-31,Wekeza Maisha Fund,3746107643.19,11613796.35,322.5567,322.5567,316.1056,2017,5
2017-05-31,Watoto Fund,3355189924.27,11714358.27,286.4169,286.4169,283.5527,2017,5
2017-05-31,Watoto Fund,3355189924.27,11714358.27,286.4169,286.4169,283.5527,2017,5
2017-05-31,Jikimu Fund,22785431903.55,183585129.21,124.1137,124.1137,121.6314,2017,5
2017-05-31,Jikimu Fund,22785431903.55,183585129.21,124.1137,124.1137,121.6314,2017,5
2017-05-31,Liquid Fund,12456747539.51,75316461.8,165.3921,165.3921,165.3921,2017,5
2017-05-31,Liquid Fund,12456747539.51,75316461.8,165.3921,165.3921,165.3921,2017,5
2017-05-30,Umoja Fund,198285317646.53,404472929.96,490.2314,490.2314,485.3291,2017,5
2017-05-30,Umoja Fund,198285317646.53,404472929.96,490.2314,490.2314,485.3291,2017,5
2017-05-30,Wekeza Maisha Fund,3741652375.01,11613666.92,322.1767,322.1767,315.7331,2017,5
2017-05-30,Wekeza Maisha Fund,3741652375.01,11613666.92,322.1767,322.1767,315.7331,2017,5
2017-05-30,Watoto Fund,3352518548.08,11710934.52,286.2725,286.2725,283.4098,2017,5
2017-05-30,Watoto Fund,3352518548.08,11710934.52,286.2725,286.2725,283.4098,2017,5
2017-05-30,Jikimu Fund,22722221243.99,183172077.01,124.0485,124.0485,121.5675,2017,5
2017-05-30,Jikimu Fund,22722221243.99,183172077.01,124.0485,124.0485,121.5675,2017,5
2017-05-30,Liquid Fund,12450995633.02,75310359.8,165.3291,165.3291,165.3291,2017,5
2017-05-30,Liquid Fund,12450995633.02,75310359.8,165.3291,165.3291,165.3291,2017,5
2017-05-29,Umoja Fund,196815748148.61,404685061.19,486.343,486.343,481.4796,2017,5
2017-05-29,Umoja Fund,196815748148.61,404685061.19,486.343,486.343,481.4796,2017,5
2017-05-29,Wekeza Maisha Fund,3719208370.83,11613354.67,320.2527,320.2527,313.8477,2017,5
2017-05-29,Wekeza Maisha Fund,3719208370.83,11613354.67,320.2527,320.2527,313.8477,2017,5
2017-05-29,Watoto Fund,3335631749.63,11725891.98,284.4672,284.4672,281.6225,2017,5
2017-05-29,Watoto Fund,3335631749.63,11725891.98,284.4672,284.4672,281.6225,2017,5
2017-05-29,Jikimu Fund,22666100747.99,183194317.37,123.7271,123.7271,121.2526,2017,5
2017-05-29,Jikimu Fund,22666100747.99,183194317.37,123.7271,123.7271,121.2526,2017,5
2017-05-29,Liquid Fund,12468893834.81,75447255.83,165.2664,165.2664,165.2664,2017,5
2017-05-29,Liquid Fund,12468893834.81,75447255.83,165.2664,165.2664,165.2664,2017,5
2017-05-26,Umoja Fund,196676721640.71,404682370.84,486.0027,486.0027,481.1427,2017,5
2017-05-26,Umoja Fund,196676721640.71,404682370.84,486.0027,486.0027,481.1427,2017,5
2017-05-26,Wekeza Maisha Fund,3716654951.58,11613302.59,320.0343,320.0343,313.6336,2017,5
2017-05-26,Wekeza Maisha Fund,3716654951.58,11613302.59,320.0343,320.0343,313.6336,2017,5
2017-05-26,Watoto Fund,3333372900.71,11725786.45,284.2771,284.2771,281.4344,2017,5
2017-05-26,Watoto Fund,3333372900.71,11725786.45,284.2771,284.2771,281.4344,2017,5
2017-05-26,Jikimu Fund,22645388052.4,183192293.14,123.6154,123.6154,121.1431,2017,5
2017-05-26,Jikimu Fund,22645388052.4,183192293.14,123.6154,123.6154,121.1431,2017,5
