Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Bond Fund,25970206321.98,250877341.02,103.5175,103.5175,103.5175,2020-01-06
Bond Fund,25919453847.35,250484404.59,103.4773,103.4773,103.4773,2020-01-05
Bond Fund,25804054529.45,249649369.46,103.3612,103.3612,103.3612,2020-01-02
Bond Fund,25586978256.68,247639371.73,103.3235,103.3235,103.3235,2020-01-01
Bond Fund,25445083010.76,246447343.63,103.2475,103.2475,103.2475,2019-12-30
Bond Fund,25424312150.73,246337353.93,103.2093,103.2093,103.2093,2019-12-29
Bond Fund,25297328360.41,245379965.47,103.0945,103.0945,103.0945,2019-12-26
Bond Fund,25169779886.56,244416267.63,102.9792,102.9792,102.9792,2019-12-23
Bond Fund,24756859170.03,240496705.92,102.9405,102.9405,102.9405,2019-12-22
Bond Fund,24497066533.81,238246662.77,102.8223,102.8223,102.8223,2019-12-19
Bond Fund,24489730740.7,238267798.89,102.7824,102.7824,102.7824,2019-12-18
Bond Fund,24418529445.13,237667119.01,102.7426,102.7426,102.7426,2019-12-17
Bond Fund,24401034756.46,237584861.03,102.7045,102.7045,102.7045,2019-12-16
Bond Fund,24069396264.0,234442648.13,102.6665,102.6665,102.6665,2019-12-15
Bond Fund,24010651456.55,234134946.07,102.5505,102.5505,102.5505,2019-12-12
Bond Fund,23988098225.33,234003364.49,102.5118,102.5118,102.5118,2019-12-11
Bond Fund,23681197799.56,231096904.74,102.473,102.473,102.473,2019-12-10
Bond Fund,23629937502.87,230685185.72,102.4337,102.4337,102.4337,2019-12-09
Bond Fund,23540535639.98,230166762.91,102.276,102.276,102.276,2019-12-05
Bond Fund,23483454208.82,229697413.01,102.2365,102.2365,102.2365,2019-12-04
Bond Fund,23325903676.65,228244626.29,102.1969,102.1969,102.1969,2019-12-03
Bond Fund,23278851734.46,227902762.67,102.1438,102.1438,102.1438,2019-12-02
Bond Fund,23161811768.8,226816488.12,102.117,102.117,102.117,2019-12-01
Bond Fund,22837215601.62,223895125.3,101.9996,101.9996,101.9996,2019-11-28
Bond Fund,22817257354.52,223786585.11,101.9599,101.9599,101.9599,2019-11-27
Bond Fund,22649363740.4,222226539.6,101.9202,101.9202,101.9202,2019-11-26
Bond Fund,22595923254.96,221789402.42,101.8801,101.8801,101.8801,2019-11-25
Bond Fund,22287345053.34,218844795.9,101.8409,101.8409,101.8409,2019-11-24
Bond Fund,22173946792.82,217987298.89,101.7213,101.7213,101.7213,2019-11-21
Bond Fund,22159558602.2,217933752.68,101.6803,101.6803,101.6803,2019-11-20
Bond Fund,17109475377.46,168316856.07,101.6504,101.6504,101.6504,2019-11-19
Bond Fund,16143219438.2,158929423.83,101.5748,101.5748,101.5748,2019-11-17
Bond Fund,16123549558.87,158929423.83,101.451,101.451,101.451,2019-11-14
Bond Fund,16117096257.34,158929423.83,101.4104,101.4104,101.4104,2019-11-13
Bond Fund,16110645659.73,158929423.83,101.3698,101.3698,101.3698,2019-11-12
