Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday,Target_NAV
382199.8606262174,20.99264257583373,111.5815,111.5815,111.5815,2021,12,29,2,306694.9697256706
381789.10230302543,20.99080166641255,111.547,111.547,111.547,2021,12,28,1,306101.75180924725
380542.3467282452,20.98802551184155,111.1277,111.1277,111.1277,2021,12,27,0,304931.8349277753
379317.5291926409,20.982546173963446,111.0201,111.0201,111.0201,2021,12,24,4,304409.9759069831
378852.43621773104,20.980416189923726,110.9842,110.9842,110.9842,2021,12,23,3,304205.14128848974
377933.8203941399,20.97588555647059,110.9482,110.9482,110.9482,2021,12,22,2,303737.9791941403
376958.98313979735,20.971045664169477,110.9121,110.9121,110.9121,2021,12,21,1,303406.811492936
376842.5280850079,20.970733392294914,110.8782,110.8782,110.8782,2021,12,20,0,302993.1885181579
375938.87608604674,20.966871591298695,110.774,110.774,110.774,2021,12,17,4,302038.9474493646
375588.6376831307,20.965326472810908,110.7387,110.7387,110.7387,2021,12,16,3,301438.412014826
375353.19608985615,20.96439559629317,110.7029,110.7029,110.7029,2021,12,15,2,301331.4554759758
373445.9258851808,20.95451163504804,110.6692,110.6692,110.6692,2021,12,14,1,299107.1592087859
372955.021421565,20.952196816574908,110.6342,110.6342,110.6342,2021,12,13,0,298116.7122191743
372220.90072236676,20.949205348709803,110.5293,110.5293,110.5293,2021,12,10,4,297726.45685835514
370712.54534504225,20.94353265555,110.259,110.259,110.259,2021,12,8,2,297803.4421196135
370411.5900587075,20.94223453941402,110.223,110.223,110.223,2021,12,7,1,297344.57273052755
369494.7221637408,20.9375950861662,110.188,110.188,110.188,2021,12,6,0,296889.5957458092
368187.4709354597,20.931467042914207,110.0823,110.0823,110.0823,2021,12,3,4,296046.5899597055
366856.2102786322,20.92455482255145,110.0457,110.0457,110.0457,2021,12,2,3,293622.83367818996
366350.38785266766,20.922108240680423,110.0113,110.0113,110.0113,2021,12,1,2,292295.65724235453
367928.10759070853,20.92197296613347,110.9759,110.9759,110.9759,2021,11,30,1,291577.61133795924
366476.0153088603,20.914385707737253,110.9402,110.9402,110.9402,2021,11,29,0,292201.09148245835
365604.9366430109,20.91059994578441,110.8322,110.8322,110.8322,2021,11,26,4,291800.942162187
365000.4485115737,20.907606735238904,110.7971,110.7971,110.7971,2021,11,25,3,290648.7114268357
364635.6646262814,20.9059273681925,110.7616,110.7616,110.7616,2021,11,24,2,290525.59203149384
364031.4716247072,20.90292139091085,110.7272,110.7272,110.7272,2021,11,23,1,290264.9431924048
363064.0514329255,20.89791489536533,110.6923,110.6923,110.6923,2021,11,22,0,289626.8790586606
362708.0186297237,20.896923139483302,110.5849,110.5849,110.5849,2021,11,19,4,289347.41458651394
362379.0726391081,20.89544399228535,110.5478,110.5478,110.5478,2021,11,18,3,288656.7062172816
